./enet_client/enet_client 120.26.200.117 22222 500
before enet_host_connect
Connection to some.server.net:1234 succeeded.
51  49  49  57  54  53  71  64  147 96  max: 147  average 10: 69  average total: 69 0KB/s(in)
16:18.36 68 69  50  48  49  48  45  48  47  46  max: 69  average 10: 51  average total: 60
16:18.37 66 69  47  123 74  50  46  234 183 134 max: 234  average 10: 102  average total: 74
16:18.37 85 47  61  50  97  47  84  250 200 149 max: 250  average 10: 107  average total: 82
16:18.38 101    98  50  102 51  50  73  48  47  50  max: 102  average 10: 67  average total: 79
16:18.38 58 52  48  59  171 123 72  50  47  67  max: 171  average 10: 74  average total: 78
16:18.39 60 152 102 55  49  176 133 84  190 140 max: 190  average 10: 114  average total: 83
16:18.39 89 114 169 119 126 76  100 50  83  55  max: 169  average 10: 98  average total: 85
16:18.40 118    70  123 71  150 188 137 97  85  49  max: 188  average 10: 108  average total: 88
16:18.40 48 47  52  46  55  53  70  47  48  51  max: 70  average 10: 51  average total: 84
16:18.41 66 74  94  47  59  173 123 124 74  102 max: 173  average 10: 93  average total: 85
16:18.41 252    201 152 103 135 86  105 55  112 173 max: 252  average 10: 137  average total: 89
16:18.42 124    75  78  53  93  47  107 60  218 169 max: 218  average 10: 102  average total: 90
16:18.42 118    193 143 207 157 107 58  52  59  55  max: 207  average 10: 114  average total: 92
16:18.43 49 49  48  61  88  52  49  48  50  46  max: 88  average 10: 54  average total: 89
16:18.43 46 47  48  46  46  45  46  73  99  51  max: 99  average 10: 54  average total: 87
16:18.44 47 52  395 345 295 243 195 144 136 86  max: 395  average 10: 193  average total: 93
16:18.44 48 47  46  47  47  47  129 77  47  46  max: 129  average 10: 58  average total: 91
16:18.45 53 48  47  47  56  47  49  46  47  47  max: 56  average 10: 48  average total: 89
16:18.45 46 46  46  48  46  46  50  48  76  47  max: 76  average 10: 49  average total: 87
16:18.46 77 51  56  64  51  109 58  74  134 84  max: 134  average 10: 75  average total: 87
