./asio_kcp_client/asio_kcp_client 120.26.200.117 33333 500 2>/dev/null
64  95  235 202 216 165 155 143 112 91  max: 235  average 10: 147  average total: 147 0KB/s(in)
16:18.36 60 63  72  101 174 204 170 170 130 93  max: 204  average 10: 123  average total: 123
16:18.36 66 164 163 113 111 59  58  58  59  57  max: 164  average 10: 90  average total: 90
16:18.37 81 157 106 62  61  53  224 237 186 277 max: 277  average 10: 144  average total: 144
16:18.38 226    175 159 159 168 274 223 221 272 221 max: 274  average 10: 209  average total: 209
16:18.38 218    241 264 222 212 186 136 128 166 174 max: 264  average 10: 194  average total: 194
16:18.39 194    172 150 109 70  61  168 215 165 154 max: 215  average 10: 145  average total: 145
16:18.39 111    92  61  78  63  94  87  66  80  114 max: 114  average 10: 84  average total: 84
16:18.39 68 90  67  62  99  130 79  57  114 302 max: 302  average 10: 106  average total: 106
16:18.40 252    211 214 169 153 124 130 209 227 212 max: 252  average 10: 190  average total: 190
16:18.41 187    203 163 161 121 111 60  94  102 60  max: 203  average 10: 126  average total: 126
16:18.41 72 61  251 200 149 138 125 104 223 173 max: 251  average 10: 149  average total: 149
16:18.42 122    110 104 96  49  62  78  76  91  68  max: 122  average 10: 85  average total: 85
16:18.42 68 109 67  154 167 155 122 113 110 67  max: 167  average 10: 113  average total: 113
16:18.42 67 56  60  63  71  63  73  64  53  49  max: 73  average 10: 61  average total: 61
16:18.43 62 88  59  58  48  63  47  70  59  63  max: 88  average 10: 61  average total: 61
16:18.43 64 62  62  61  65  91  63  53  50  52  max: 91  average 10: 62  average total: 62
16:18.44 147    146 95  65  64  63  54  55  62  59  max: 147  average 10: 81  average total: 81
16:18.44 120    102 79  58  50  69  48  70  48  62  max: 120  average 10: 70  average total: 70
16:18.45 61 63  61  60  61  61  55  61  60  63  max: 63  average 10: 60  average total: 60
16:18.45 53 63  66  64  53  67  88  63  67  73  max: 88  average 10: 65  average total: 65 9.8KB/s(in)
16:18.46 171    291 240 189 225 175 188 155 202 152 max: 291  average 10: 198  average total: 198
16:18.47 115    121 74  195 175 192 161 201 193 151 max: 201  average 10: 157  average total: 157
16:18.47 127    161 189 209 158 115 142 92  206 207 max: 209  average 10: 160  average total: 160
16:18.48 167    122 147 97  83  76  95  64  93  237 max: 237  average 10: 118  average total: 118
16:18.48 187    201 151 116 133 83  69  103 67  60  max: 201  average 10: 117  average total: 117
16:18.49 61 82  81  66  55  65  66  65  55  65  max: 82  average 10: 66  average total: 66
16:18.49 55 56  56  79  71  61  60  65  62  50  max: 79  average 10: 61  average total: 61
16:18.50 61 50  60  49  55  94  124 73  57  68  max: 124  average 10: 69  average total: 69
16:18.50 57 182 159 122 88  57  67  60  71  57  max: 182  average 10: 92  average total: 92
16:18.51 60 68  146 223 215 172 151 121 121 131 max: 223  average 10: 140  average total: 140
16:18.51 122    95  67  65  56  107 68  236 287 266 max: 287  average 10: 136  average total: 136
16:18.52 243    274 224 173 123 113 98  48  69  67  max: 274  average 10: 143  average total: 143
16:18.52 60 67  220 169 161 130 140 240 189 163 max: 240  average 10: 153  average total: 153
16:18.53 143    115 68  66  64  69  64  61  61  62  max: 143  average 10: 77  average total: 77
16:18.53 67 52  61  50  67  60  67  71  54  145 max: 145  average 10: 69  average total: 69
16:18.54 107    129 78  80  58  47  58  59  81  101 max: 129  average 10: 79  average total: 79
16:18.54 57 112 61  63  92  74  93  51  97  201 max: 201  average 10: 90  average total: 90
16:18.55 162    221 170 120 127 115 64  191 165 157 max: 221  average 10: 149  average total: 149
16:18.55 114    85  89  57  99  63  67  58  57  158 max: 158  average 10: 84  average total: 84
16:18.56 163    122 114 76  68  62  63  63  55  211 max: 211  average 10: 99  average total: 99 9.7KB/s(in)
16:18.56 170    159 120 81  80  117 77  58  61  61  max: 170  average 10: 98  average total: 98
16:18.57 61 61  63  110 110 100 61  62  126 115 max: 126  average 10: 86  average total: 86
16:18.57 83 65  67  75  55  70  90  64  66  97  max: 97  average 10: 73  average total: 73
16:18.58 147    112 106 57  68  84  71  167 167 133 max: 167  average 10: 111  average total: 111
16:18.58 136    172 122 73  58  61  60  48  57  53  max: 172  average 10: 84  average total: 84
16:18.59 64 63  64  55  68  69  58  49  66  57  max: 69  average 10: 61  average total: 61
16:18.59 87 63  56  136 107 101 59  49  61  49  max: 136  average 10: 76  average total: 76
16:19.0 59  94  64  48  145 172 122 71  67  159 max: 172  average 10: 100  average total: 100
16:19.0 112 113 72  53  73  113 62  68  61  68  max: 113  average 10: 79  average total: 79
16:19.1 157 106 116 71  62  84  73  62  60  53  max: 157  average 10: 84  average total: 84
16:19.1 59  50  59  84  261 215 209 172 215 165 max: 261  average 10: 148  average total: 148
16:19.2 115 109 108 59  80  114 63  50  57  65  max: 115  average 10: 82  average total: 82
16:19.2 54  64  64  80  210 210 171 176 130 107 max: 210  average 10: 126  average total: 126
16:19.3 79  61  56  62  96  67  55  61  67  61  max: 96  average 10: 66  average total: 66
16:19.3 58  58  69  92  69  72  107 69  68  94  max: 107  average 10: 75  average total: 75
16:19.4 62  181 131 80  86  106 66  72  95  65  max: 181  average 10: 94  average total: 94
16:19.4 72  63  81  102 59  65  203 161 200 150 max: 203  average 10: 115  average total: 115
16:19.5 108 137 87  62  86  76  105 73  81  55  max: 137  average 10: 87  average total: 87
16:19.5 62  63  60  63  170 119 70  83  61  197 max: 197  average 10: 94  average total: 94
16:19.6 213 233 182 132 173 302 251 214 249 199 max: 302  average 10: 214  average total: 214 9.8KB/s(in)
16:19.6 148 122 124 73  75  66  51  66  82  77  max: 148  average 10: 88  average total: 88
16:19.7 59  80  78  52  70  61  63  114 67  71  max: 114  average 10: 71  average total: 71
16:19.7 90  60  84  60  74  84  106 57  111 60  max: 111  average 10: 78  average total: 78
16:19.8 80  64  70  308 325 277 276 282 298 285 max: 325  average 10: 226  average total: 226
16:19.9 277 246 279 228 177 196 146 95  89  97  max: 279  average 10: 183  average total: 183
16:19.9 58  60  71  66  81  81  193 177 177 127 max: 193  average 10: 109  average total: 109
16:19.9 125 74  108 83  52  82  73  88  106 55  max: 125  average 10: 84  average total: 84
16:19.10 72 71  69  88  171 272 221 170 120 70  max: 272  average 10: 132  average total: 132
16:19.10 73 247 235 242 245 195 152 102 118 103 max: 247  average 10: 171  average total: 171
16:19.11 140    89  188 168 146 107 67  60  58  65  max: 188  average 10: 108  average total: 108
16:19.11 98 69  73  80  85  65  87  59  50  151 max: 151  average 10: 81  average total: 81
16:19.12 100    134 83  52  64  62  51  276 226 175 max: 276  average 10: 122  average total: 122
16:19.12 250    251 208 194 221 171 120 121 130 82  max: 251  average 10: 174  average total: 174
16:19.13 69 95  98  182 178 159 165 249 204 240 max: 249  average 10: 163  average total: 163
16:19.14 192    197 184 134 142 107 56  70  148 98  max: 197  average 10: 132  average total: 132
16:19.14 67 98  63  95  58  80  71  85  78  225 max: 225  average 10: 92  average total: 92
16:19.15 175    175 177 133 121 104 85  100 390 362 max: 390  average 10: 182  average total: 182
16:19.15 431    380 413 363 313 263 289 318 267 285 max: 431  average 10: 332  average total: 332
16:19.16 289    281 273 222 222 202 152 150 111 95  max: 289  average 10: 199  average total: 199
16:19.16 105    89  236 189 225 192 236 202 231 182 max: 236  average 10: 188  average total: 188 9.8KB/s(in)
16:19.17 217    181 155 164 113 301 256 247 204 218 max: 301  average 10: 205  average total: 205
16:19.17 168    165 145 112 65  59  50  61  59  253 max: 253  average 10: 113  average total: 113
16:19.18 202    175 126 117 92  60  274 272 229 184 max: 274  average 10: 173  average total: 173
16:19.18 229    191 162 144 93  63  50  137 107 101 max: 229  average 10: 127  average total: 127
16:19.18 73 69  137 145 135 94  64  60  60  60  max: 145  average 10: 89  average total: 89
16:19.19 71 58  58  49  69  65  65  66  67  75  max: 75  average 10: 64  average total: 64
16:19.19 57 68  58  53  49  72  59  47  67  56  max: 72  average 10: 58  average total: 58
16:19.20 57 114 133 102 83  63  52  240 257 210 max: 257  average 10: 131  average total: 131
16:19.21 182    161 110 88  69  121 115 74  64  75  max: 182  average 10: 105  average total: 105
16:19.21 55 223 223 172 162 111 83  62  121 132 max: 223  average 10: 134  average total: 134
16:19.22 111    100 59  52  64  54  64  53  64  63  max: 111  average 10: 68  average total: 68
16:19.22 332    325 286 250 227 177 162 150 155 150 max: 332  average 10: 221  average total: 221
16:19.23 160    146 111 74  65  65  64  63  64  56  max: 160  average 10: 86  average total: 86
16:19.23 67 65  52  58  232 223 199 158 119 99  max: 232  average 10: 127  average total: 127
16:19.24 56 117 77  62  112 74  63  53  61  52  max: 117  average 10: 72  average total: 72
16:19.24 55 52  63  68  67  66  65  56  56  57  max: 68  average 10: 60  average total: 60
16:19.25 58 64  61  130 100 90  52  120 113 71  max: 130  average 10: 85  average total: 85
16:19.25 59 63  124 115 74  62  79  58  90  61  max: 124  average 10: 78  average total: 78
16:19.26 158    159 117 108 67  55  55  56  62  60  max: 159  average 10: 89  average total: 89
16:19.26 63 62  49  60  50  78  49  58  52  63  max: 78  average 10: 58  average total: 58 9.9KB/s(in)
16:19.27 86 67  62  65  51  51  51  66  56  56  max: 86  average 10: 61  average total: 61
16:19.27 88 58  57  54  51  61  60  74  87  50  max: 88  average 10: 64  average total: 64
16:19.28 63 56  59  55  65  56  65  58  54  55  max: 65  average 10: 58  average total: 58
16:19.28 55 59  131 100 79  58  50  58  63  58  max: 131  average 10: 71  average total: 71
16:19.29 69 58  65  67  71  62  61  62  61  52  max: 71  average 10: 62  average total: 62
16:19.29 61 53  50  65  66  65  54  114 73  53  max: 114  average 10: 65  average total: 65
16:19.30 54 64  52  69  59  58  58  59  61  58  max: 69  average 10: 59  average total: 59
16:19.30 69 48  97  63  63  64  51  62  53  63  max: 97  average 10: 63  average total: 63
16:19.31 50 61  55  65  66  66  55  55  56  65  max: 66  average 10: 59  average total: 59
16:19.31 65 129 105 90  59  60  48  60  57  49  max: 129  average 10: 72  average total: 72
16:19.32 64 76  58  60  63  74  72  54  64  135 max: 135  average 10: 72  average total: 72
16:19.32 104    98  59  58  64  69  48  60  47  67  max: 104  average 10: 67  average total: 67
16:19.33 62 61  60  52  50  51  62  56  123 107 max: 123  average 10: 68  average total: 68
16:19.33 113    66  65  64  67  73  54  56  55  49  max: 113  average 10: 66  average total: 66
16:19.34 60 130 110 81  60  61  53  70  50  60  max: 130  average 10: 73  average total: 73
16:19.34 54 65  65  73  68  67  53  128 93  53  max: 128  average 10: 71  average total: 71
16:19.35 53 56  66  67  76  68  67  56  65  65  max: 76  average 10: 63  average total: 63
16:19.35 59 56  59  75  71  58  62  72  57  132 max: 132  average 10: 70  average total: 70
16:19.36 111    93  63  60  61  61  112 104 70  50  max: 112  average 10: 78  average total: 78
16:19.36 118    76  55  65  66  57  57  54  55  56  max: 118  average 10: 65  average total: 65 9.8KB/s(in)
16:19.37 59 62  60  62  60  59  59  59  61  69  max: 69  average 10: 61  average total: 61
16:19.37 67 66  54  54  63  64  53  73  53  53  max: 73  average 10: 60  average total: 60
16:19.38 58 59  68  48  50  58  66  127 119 82  max: 127  average 10: 73  average total: 73
